id,lng,lat,status,blockageType,classification,loggedTime
16891951,153.2907668,-27.82157602,In Progress,No Blockage,Debris/Obstruction/Spill,11:10:53 13-12-2019
16891944,152.9336912,-27.58197123,In Progress,Unknown,Broken-down Vehicle,11:08:21 13-12-2019
16891917,153.1840287,-27.67661781,In Progress,No Blockage,Broken-down Vehicle,10:59:02 13-12-2019
16891913,153.1166077,-27.60210609,In Progress,Partially Blocked,Broken-down Vehicle,10:58:44 13-12-2019
16891900,153.398202,-27.947922,In Progress,Unknown,None,10:54:08 13-12-2019
16891887,153.0438788,-26.79493865,In Progress,No Blockage,Other,10:50:27 13-12-2019
16891879,152.9800456,-27.26884573,In Progress,Blocked,Roadworks,10:46:32 13-12-2019
16891848,152.9467926,-27.59508896,In Progress,No Blockage,Broken-down Vehicle,10:30:39 13-12-2019
16891836,153.0303742,-27.48228691,In Progress,Unknown,None,10:29:45 13-12-2019
16891814,153.0665436,-27.5500412,In Progress,Unknown,None,10:27:04 13-12-2019
16891813,153.0109633,-27.33303494,In Progress,No Blockage,Debris/Obstruction/Spill,10:26:56 13-12-2019
16891801,153.0767822,-27.40953064,In Progress,Unknown,None,10:22:45 13-12-2019
16891767,153.204051,-27.70623883,In Progress,No Blockage,RAMC/RMPC - Tasks (Non-Urgent),10:12:56 13-12-2019
16891747,153.129317,-27.474811,In Progress,Unknown,None,10:05:41 13-12-2019
16891737,153.2035549,-27.51512917,In Progress,No Blockage,Debris/Obstruction/Spill,10:02:29 13-12-2019
16891736,152.939007,-27.507506,In Progress,Unknown,None,10:02:23 13-12-2019
16891686,153.0653275,-27.54925604,In Progress,No Blockage,Broken-down Vehicle,09:48:42 13-12-2019
16891657,153.4329565,-28.03858972,In Progress,Blocked,Secondary Crash,09:38:16 13-12-2019
16891597,153.4798128,-28.14723562,In Progress,No Blockage,Primary Crash,09:19:27 13-12-2019
16891577,152.952702,-27.115377,In Progress,Unknown,None,09:12:37 13-12-2019
16891552,153.387563,-28.07571943,In Progress,Unknown,None,09:03:18 13-12-2019
16891546,152.9879471,-27.46789923,In Progress,Partially Blocked,Road Surface/Infrastructure,08:59:05 13-12-2019
16891542,152.990667,-27.30918057,In Progress,Unknown,None,08:57:50 13-12-2019
16891499,153.0176233,-27.4660785,In Progress,Unknown,Project / Permit Works,08:47:21 13-12-2019
16891461,153.3331782,-27.93060229,In Progress,No Blockage,Recurring,08:40:03 13-12-2019
16891444,153.4602407,-28.1198506,In Progress,No Blockage,Recurring,08:33:18 13-12-2019
16891425,153.0587918,-27.53606307,In Progress,Unknown,None,08:26:20 13-12-2019
16891402,153.0603632,-27.28628782,In Progress,Unknown,None,08:21:47 13-12-2019
16891382,153.252568,-27.562489,In Progress,Unknown,None,08:18:24 13-12-2019
16891378,153.085533,-26.65848514,In Progress,Unknown,Broken-down Vehicle,08:18:03 13-12-2019
16891369,153.0154724,-27.46850967,In Progress,Both Directions Blocked,Other,08:12:35 13-12-2019
16891325,153.3621769,-28.06789292,In Progress,No Blockage,Recurring,07:56:42 13-12-2019
16891314,153.2092602,-27.88608014,In Progress,Blocked,Roadworks,07:55:07 13-12-2019
16891309,153.3401337,-27.94705772,In Progress,Unknown,None,07:54:24 13-12-2019
16891294,153.3152527,-27.88641129,In Progress,Partially Blocked,Roadworks,07:51:05 13-12-2019
16891272,152.958693,-26.84112332,In Progress,Unknown,Roadworks,07:48:01 13-12-2019
16891265,153.4742012,-28.12337764,In Progress,Blocked,Roadworks,07:46:05 13-12-2019
16891127,153.0397775,-27.49846524,In Progress,No Blockage,Broken-down Vehicle,07:17:40 13-12-2019
16891084,153.2818692,-27.72309407,In Progress,Blocked,Roadworks,06:59:17 13-12-2019
16891078,153.2530053,-28.03381177,In Progress,Partially Blocked,Roadworks,06:55:45 13-12-2019
16891039,153.3707464,-27.92992933,In Progress,No Blockage,Abandoned Vehicle,06:45:44 13-12-2019
16891032,153.1980438,-27.72195643,In Progress,Partially Blocked,Roadworks,06:39:48 13-12-2019
16891018,153.3518135,-28.03039207,In Progress,No Blockage,Broken-down Vehicle,06:36:55 13-12-2019
16891013,152.5756378,-27.96728706,In Progress,Unknown,Fire/Smoke,06:36:32 13-12-2019
16890901,152.9308472,-28.08947372,In Progress,Blocked,Roadworks,05:56:56 13-12-2019
16890897,153.3278661,-27.92624206,In Progress,Partially Blocked,Abandoned Vehicle,05:47:27 13-12-2019
16890895,153.4163945,-27.97337932,In Progress,Unknown,Roadworks,05:46:44 13-12-2019
16890799,153.0463257,-27.46697235,In Progress,Blocked,Other,01:33:54 13-12-2019
16890784,153.334202,-27.99130981,In Progress,Unknown,Other,00:12:09 13-12-2019
16890783,153.3349448,-27.99105445,In Progress,No Blockage,Other,00:11:06 13-12-2019
16890782,153.333102,-27.99022453,In Progress,Unknown,Other,00:09:49 13-12-2019
16890577,152.960884,-26.625851,In Progress,Unknown,None,19:41:02 12-12-2019
16890501,152.9726715,-27.44803238,In Progress,Unknown,Roadworks,19:02:03 12-12-2019
16890497,152.9799294,-27.26877677,In Progress,Blocked,Roadworks,19:00:51 12-12-2019
16890487,153.0184199,-27.26044029,In Progress,Blocked,Roadworks,18:57:41 12-12-2019
16890481,152.9530758,-27.11588192,In Progress,Blocked,Roadworks,18:55:02 12-12-2019
16890411,153.3818971,-27.98616044,In Progress,No Blockage,Road Surface/Infrastructure,18:22:41 12-12-2019
16890205,152.9502761,-27.11110671,In Progress,Blocked,Roadworks,17:17:44 12-12-2019
16889440,152.9405251,-27.08503234,In Progress,Blocked,Roadworks,14:08:16 12-12-2019
16889404,152.9789276,-27.16161156,In Progress,Unknown,None,13:51:49 12-12-2019
16889326,153.5103171,-28.15965542,In Progress,Unknown,None,13:22:17 12-12-2019
16889265,152.9176951,-27.23866836,In Progress,Blocked,Roadworks,13:06:57 12-12-2019
16889222,152.9588755,-26.95639395,In Progress,Blocked,Roadworks,12:54:40 12-12-2019
16889178,153.0811009,-27.22044741,In Progress,Unknown,Roadworks,12:42:03 12-12-2019
16888824,153.0159217,-27.2477327,In Progress,Unknown,None,11:22:58 12-12-2019
