id,Event Type,Location,District,logged Time,Impact,Bus Routes Affected
16891951,Hazard (Debris/Obstruction/Spill),Pacific Mtwy (PIMPAMA),South Coast,11:10:53,No Delays No Blockage (Severity 3),No Buses Affected
16891944,Stationary Vehicle (Broken-down Vehicle),Ipswich Mtwy (WACOL),Metropolitan,11:08:21,Unknown Traffic Impact Unknown (Severity 1),No Buses Affected
16891917,Stationary Vehicle (Broken-down Vehicle),Beenleigh Redland Bay Rd Off Ramp (LOGANHOLME),South Coast,10:59:02,No Delays No Blockage (Severity 1),No Buses Affected
16891913,Stationary Vehicle (Broken-down Vehicle),Pacific Mtwy (ROCHEDALE SOUTH),Metropolitan,10:58:44,Delays Partially Blocked (Severity 2),555-862
16891900,Fault (None),Government Rd (LABRADOR),South Coast,10:54:08,Unknown Traffic Impact Unknown (Severity 1),No Buses Affected
16891887,Stationary Vehicle (Other),Bruce Hwy (LANDSBOROUGH),North Coast,10:50:27,No Delays No Blockage (Severity 1),No Buses Affected
16891884,External Incident (Legacy Way Tunnel),None (None),None,10:49:04,None None (Severity 1),No location of Incident
16891879,Planned Event/Roadworks (Roadworks),Anzac Av (PETRIE),North Coast,10:46:32,Delays Blocked (Severity 4),680-1108
16891848,Stationary Vehicle (Broken-down Vehicle),Centenary Hwy (RICHLANDS),Metropolitan,10:30:39,No Delays No Blockage (Severity 1),No Buses Affected
16891836,Fault (None),Pathway (KANGAROO POINT),Metropolitan,10:29:45,Unknown Traffic Impact Unknown (Severity 1),161-1020
16891814,Fault (None),Pacific Mtwy (UPPER MOUNT GRAVATT),Metropolitan,10:27:04,Unknown Traffic Impact Unknown (Severity 1),169-1020
16891813,Hazard (Debris/Obstruction/Spill),Gympie Arterial Rd (CARSELDINE),Metropolitan,10:26:56,No Delays No Blockage (Severity 3),No Buses Affected
16891801,Fault (None),Southern Cross Way (HENDRA),Metropolitan,10:22:45,Unknown Traffic Impact Unknown (Severity 1),No Buses Affected
