id,lat,lng,status,blockageType,classification,loggedTime,wazeCorrelation,temp,weather,holiday
16891879,-27.26884573,152.9800456,In Progress,Blocked,Roadworks,10:46:32 13-12-2019,None,28.25,Clouds,False
16891657,-28.03858972,153.4329565,In Progress,Blocked,Secondary Crash,09:38:16 13-12-2019,None,28.25,Clouds,False
16891314,-27.88608014,153.2092602,In Progress,Blocked,Roadworks,07:55:07 13-12-2019,None,28.25,Clouds,False
16891265,-28.12337764,153.4742012,In Progress,Blocked,Roadworks,07:46:05 13-12-2019,None,28.25,Clouds,False
16891084,-27.72309407,153.2818692,In Progress,Blocked,Roadworks,06:59:17 13-12-2019,None,28.25,Clouds,False
16890901,-28.08947372,152.9308472,In Progress,Blocked,Roadworks,05:56:56 13-12-2019,None,28.25,Clouds,False
16890799,-27.46697235,153.0463257,In Progress,Blocked,Other,01:33:54 13-12-2019,None,28.25,Clouds,False
16890497,-27.26877677,152.9799294,In Progress,Blocked,Roadworks,19:00:51 12-12-2019,None,28.25,Clouds,False
16890487,-27.26044029,153.0184199,In Progress,Blocked,Roadworks,18:57:41 12-12-2019,None,28.25,Clouds,False
16890481,-27.11588192,152.9530758,In Progress,Blocked,Roadworks,18:55:02 12-12-2019,None,28.25,Clouds,False
16890205,-27.11110671,152.9502761,In Progress,Blocked,Roadworks,17:17:44 12-12-2019,None,28.25,Clouds,False
16889440,-27.08503234,152.9405251,In Progress,Blocked,Roadworks,14:08:16 12-12-2019,None,28.25,Clouds,False
16889265,-27.23866836,152.9176951,In Progress,Blocked,Roadworks,13:06:57 12-12-2019,None,28.25,Clouds,False
16889222,-26.95639395,152.9588755,In Progress,Blocked,Roadworks,12:54:40 12-12-2019,None,28.25,Clouds,False
