group,category,measure
All,08.0,0,
All,09.0,2,
All,10.0,9,
All,11.0,2,
All,12.0,2,
All,13.0,3,
All,14.0,1,
All,15.0,0,
All,16.0,0,
All,17.0,1,
All,18.0,3,
All,19.0,3,
All,20.0,0,
All,21.0,0,
All,22.0,0,
All,23.0,0,
All,00.0,3,
All,01.0,1,
All,02.0,0,
All,03.0,0,
All,04.0,0,
All,05.0,5,
All,06.0,6,
All,07.0,13,
All,08.0,17,
Sth Coast,08.0,0,
Sth Coast,09.0,2,
Sth Coast,10.0,1,
Sth Coast,11.0,1,
Sth Coast,12.0,0,
Sth Coast,13.0,1,
Sth Coast,14.0,0,
Sth Coast,15.0,0,
Sth Coast,16.0,0,
Sth Coast,17.0,0,
Sth Coast,18.0,1,
Sth Coast,19.0,0,
Sth Coast,20.0,0,
Sth Coast,21.0,0,
Sth Coast,22.0,0,
Sth Coast,23.0,0,
Sth Coast,00.0,3,
Sth Coast,01.0,0,
Sth Coast,02.0,0,
Sth Coast,03.0,0,
Sth Coast,04.0,0,
Sth Coast,05.0,3,
Sth Coast,06.0,5,
Sth Coast,07.0,5,
Sth Coast,08.0,5,
Nth Coast,08.0,0,
Nth Coast,09.0,0,
Nth Coast,10.0,1,
Nth Coast,11.0,1,
Nth Coast,12.0,2,
Nth Coast,13.0,2,
Nth Coast,14.0,1,
Nth Coast,15.0,0,
Nth Coast,16.0,0,
Nth Coast,17.0,1,
Nth Coast,18.0,2,
Nth Coast,19.0,2,
Nth Coast,20.0,0,
Nth Coast,21.0,0,
Nth Coast,22.0,0,
Nth Coast,23.0,0,
Nth Coast,00.0,0,
Nth Coast,01.0,0,
Nth Coast,02.0,0,
Nth Coast,03.0,0,
Nth Coast,04.0,0,
Nth Coast,05.0,0,
Nth Coast,06.0,0,
Nth Coast,07.0,3,
Nth Coast,08.0,3,
Metro,08.0,0,
Metro,09.0,0,
Metro,10.0,7,
Metro,11.0,0,
Metro,12.0,0,
Metro,13.0,0,
Metro,14.0,0,
Metro,15.0,0,
Metro,16.0,0,
Metro,17.0,0,
Metro,18.0,0,
Metro,19.0,1,
Metro,20.0,0,
Metro,21.0,0,
Metro,22.0,0,
Metro,23.0,0,
Metro,00.0,0,
Metro,01.0,1,
Metro,02.0,0,
Metro,03.0,0,
Metro,04.0,0,
Metro,05.0,2,
Metro,06.0,1,
Metro,07.0,5,
Metro,08.0,9,
