LINK-DIR,DATE-TIME,EPOCH-60MIN,LENGTH,COUNT,MEAN
988573468T,2018-10-25 05:00,5,52,2,38.5
988573468T,2018-10-25 06:00,6,52,6,29.3
988573468T,2018-10-25 07:00,7,52,10,16.7
988573468T,2018-10-25 08:00,8,52,7,13.7
988573468T,2018-10-25 09:00,9,52,6,24.3
988573468T,2018-10-25 10:00,10,52,8,16.5
988573468T,2018-10-25 11:00,11,52,11,20.4
988573468T,2018-10-25 12:00,12,52,3,25.3
988573468T,2018-10-25 13:00,13,52,10,15.2
988573468T,2018-10-25 14:00,14,52,5,16.8
988573468T,2018-10-25 15:00,15,52,3,22.7
988573468T,2018-10-25 16:00,16,52,7,14.6
988573468T,2018-10-25 17:00,17,52,4,10.0
988573468T,2018-10-25 18:00,18,52,2,16.5
988573468T,2018-10-25 19:00,19,52,2,20.5
988573468T,2018-10-25 21:00,21,52,1,13.0
988573468T,2018-10-26 04:00,4,52,3,40.0
988573468T,2018-10-26 05:00,5,52,3,30.3
988573468T,2018-10-26 06:00,6,52,3,18.0
988573468T,2018-10-26 07:00,7,52,4,24.2
988573468T,2018-10-26 08:00,8,52,6,17.8
988573468T,2018-10-26 09:00,9,52,5,34.6
988573468T,2018-10-26 10:00,10,52,6,24.3
988573468T,2018-10-26 11:00,11,52,3,34.3
988573468T,2018-10-26 12:00,12,52,8,21.1
988573468T,2018-10-26 13:00,13,52,12,17.5
988573468T,2018-10-26 14:00,14,52,7,13.6
988573468T,2018-10-26 15:00,15,52,5,11.8
988573468T,2018-10-26 16:00,16,52,1,1.0
988573468T,2018-10-26 17:00,17,52,1,14.0
988573468T,2018-10-26 18:00,18,52,6,15.7
988573468T,2018-10-26 19:00,19,52,1,43.0
988573468T,2018-10-26 20:00,20,52,1,29.0
988573468T,2018-10-29 03:00,3,52,2,30.0
988573468T,2018-10-29 05:00,5,52,6,29.7
988573468T,2018-10-29 06:00,6,52,5,27.4
988573468T,2018-10-29 07:00,7,52,17,25.7
988573468T,2018-10-29 08:00,8,52,6,18.8
988573468T,2018-10-29 09:00,9,52,7,18.3
988573468T,2018-10-29 10:00,10,52,7,17.4
988573468T,2018-10-29 11:00,11,52,2,10.0
988573468T,2018-10-29 12:00,12,52,7,23.0
988573468T,2018-10-29 13:00,13,52,7,17.0
988573468T,2018-10-29 14:00,14,52,6,21.5
988573468T,2018-10-29 15:00,15,52,4,31.0
988573468T,2018-10-29 16:00,16,52,2,12.5
988573468T,2018-10-29 17:00,17,52,2,3.5
988573468T,2018-10-29 19:00,19,52,2,15.5
988573468T,2018-10-29 20:00,20,52,1,66.0
988573468T,2018-10-30 04:00,4,52,1,50.0
988573468T,2018-10-30 05:00,5,52,2,47.0
988573468T,2018-10-30 06:00,6,52,7,23.1
988573468T,2018-10-30 07:00,7,52,14,22.2
988573468T,2018-10-30 08:00,8,52,1,15.0
988573468T,2018-10-30 09:00,9,52,2,11.0
988573468T,2018-10-30 10:00,10,52,7,23.4
988573468T,2018-10-30 11:00,11,52,8,31.5
988573468T,2018-10-30 12:00,12,52,11,17.5
988573468T,2018-10-30 13:00,13,52,7,16.4
988573468T,2018-10-30 14:00,14,52,4,17.8
988573468T,2018-10-30 15:00,15,52,7,12.1
988573468T,2018-10-30 16:00,16,52,4,11.2
988573468T,2018-10-30 17:00,17,52,4,22.8
988573468T,2018-10-30 18:00,18,52,1,10.0
988573468T,2018-10-31 04:00,4,52,1,46.0
988573468T,2018-10-31 05:00,5,52,4,14.2
988573468T,2018-10-31 06:00,6,52,6,37.5
988573468T,2018-10-31 07:00,7,52,9,28.2
988573468T,2018-10-31 08:00,8,52,5,16.0
988573468T,2018-10-31 09:00,9,52,8,28.2
988573468T,2018-10-31 10:00,10,52,1,29.0
988573468T,2018-10-31 11:00,11,52,10,24.2
988573468T,2018-10-31 12:00,12,52,5,23.6
988573468T,2018-10-31 13:00,13,52,4,12.5
988573468T,2018-10-31 14:00,14,52,5,25.0
988573468T,2018-10-31 15:00,15,52,5,14.6
988573468T,2018-10-31 16:00,16,52,7,11.4
988573468T,2018-10-31 18:00,18,52,2,22.5
988573468T,2018-10-31 19:00,19,52,3,16.7
988573468T,2018-10-31 20:00,20,52,4,20.2
988573468T,2018-11-01 10:00,10,52,2,9.5
988573468T,2018-11-01 11:00,11,52,5,13.2
988573468T,2018-11-01 12:00,12,52,4,34.0
988573468T,2018-11-01 13:00,13,52,9,17.3
988573468T,2018-11-01 14:00,14,52,7,22.0
988573468T,2018-11-01 15:00,15,52,5,12.4
988573468T,2018-11-01 16:00,16,52,12,18.2
988573468T,2018-11-01 18:00,18,52,1,29.0
988573468T,2018-11-02 05:00,5,52,3,48.7
988573468T,2018-11-02 06:00,6,52,4,28.2
988573468T,2018-11-02 07:00,7,52,8,27.9
988573468T,2018-11-02 08:00,8,52,6,26.8
988573468T,2018-11-02 09:00,9,52,8,19.0
988573468T,2018-11-02 10:00,10,52,12,15.8
988573468T,2018-11-02 11:00,11,52,6,12.3
988573468T,2018-11-02 12:00,12,52,5,16.8
988573468T,2018-11-02 13:00,13,52,8,15.2
988573468T,2018-11-02 14:00,14,52,8,17.5
988573468T,2018-11-02 15:00,15,52,7,18.7
988573468T,2018-11-02 16:00,16,52,1,3.0
988573468T,2018-11-02 19:00,19,52,6,16.3
988573468T,2018-11-05 04:00,4,52,1,24.0
