LINK-DIR,DATE-TIME,EPOCH-60MIN,COUNT
132935986T,2018-01-02 13:00,13,2
132935986T,2018-01-09 18:00,18,2
132935986T,2018-01-13 10:00,10,2
132935986T,2018-01-18 09:00,9,2
132935986T,2018-01-19 10:00,10,2
132935986T,2018-01-19 11:00,11,2
132935986T,2018-01-22 11:00,11,2
132935986T,2018-01-23 11:00,11,2
132935986T,2018-01-23 12:00,12,1
132935986T,2018-01-29 10:00,10,1
132935986T,2018-01-30 11:00,11,1
132935986T,2018-01-30 13:00,13,2
132935986T,2018-02-07 10:00,10,1
132935986T,2018-02-12 09:00,9,2
132935986T,2018-02-14 18:00,18,2
132935986T,2018-02-19 09:00,9,1
132935986T,2018-02-20 11:00,11,1
132935986T,2018-02-22 09:00,9,1
132935986T,2018-02-23 11:00,11,1
132935986T,2018-02-27 08:00,8,1
132935986T,2018-02-28 08:00,8,1
132935986T,2018-03-01 10:00,10,1
132935986T,2018-03-01 11:00,11,1
132935986T,2018-03-01 13:00,13,2
132935986T,2018-03-04 12:00,12,2
132935986T,2018-03-05 08:00,8,2
132935986T,2018-03-05 12:00,12,1
132935986T,2018-03-07 09:00,9,1
132935986T,2018-03-07 10:00,10,2
132935986T,2018-03-08 09:00,9,2
132935986T,2018-03-09 14:00,14,1
132935986T,2018-03-10 13:00,13,2
132935986T,2018-03-15 09:00,9,2
132935986T,2018-03-23 11:00,11,1
132935986T,2018-03-26 08:00,8,2
132935986T,2018-03-26 10:00,10,2
132935986T,2018-03-27 14:00,14,1
132935986T,2018-03-28 09:00,9,2
132935986T,2018-04-04 07:00,7,2
132935986T,2018-04-04 17:00,17,2
132935986T,2018-04-06 13:00,13,1
132935986T,2018-04-07 08:00,8,1
132935986T,2018-04-10 09:00,9,2
132935986T,2018-04-11 12:00,12,2
132935986T,2018-04-12 16:00,16,1
132935986T,2018-04-13 08:00,8,2
132935986T,2018-04-15 13:00,13,2
132935986T,2018-04-16 08:00,8,1
132935986T,2018-04-16 09:00,9,1
132935986T,2018-04-16 10:00,10,1
132935986T,2018-04-17 12:00,12,2
132935986T,2018-04-20 14:00,14,2
132935986T,2018-04-21 11:00,11,2
