SITE_ID,DESCRIPTION,LONGITUDE,LATITUDE,AADT,TDIST,PERCENT_HV,RSECT_ID,ROAD_NAME,TDIST_START,TDIST_END
131646, Sth of Myora Res- Dunwich,153.4110807,-27.4826895,1942,2.5,13.25,1000,EAST COAST ROAD,0,9.36
131757,North of Beehive Rd,153.4675671,-27.43376999,1522,11.4,10.72,1000,EAST COAST ROAD,9.36,16.9
11412,80m south of Hillside Dve,153.2338199,-27.73272664,12134,0.5,22.26,1003,STAPYLTON - JACOBS WELL ROAD,0,1.09
12966,400m west of Quinns Rd,153.2415967,-27.72770231,8218,1.45,20.86,1003,STAPYLTON - JACOBS WELL ROAD,1.09,1.86
11754,600m east of Alberton Road,153.2658279,-27.72049471,4467,4.15,15.88,1003,STAPYLTON - JACOBS WELL ROAD,1.86,7.95
11543,At Behm Creek bridge,153.3385448,-27.75333082,1933,14.4,17.43,1003,STAPYLTON - JACOBS WELL ROAD,7.95,19.28
11548,Between Norman St & Scarborough St,153.4107765,-27.96106645,18753,0.15,8.88,101,SMITH STREET CONNECTION,0,0.48
11400,Between Kumbari Av & Parklands Dv,153.3892765,-27.9629959,51028,2.39,4.83,101,SMITH STREET CONNECTION,0.48,3.74
11545,1.5km west of Labrador-Carrara Rd Opass,153.3618256,-27.96290083,68524,5.2,3.27,101,SMITH STREET CONNECTION,3.74,7.4
11403,Between Sunlight Dr & Billabong Pl,153.4366728,-28.10140129,28192,2.2,5.63,102,BURLEIGH CONNECTION ROAD,0,3.3
10890,630m west of Mattocks Rd,153.4127519,-28.10131688,34886,4.57,9.24,102,BURLEIGH CONNECTION ROAD,3.3,5.69
11549,280m north of Nerang St,153.4094246,-27.96735885,23002,0.55,4.3,103,SOUTHPORT - BURLEIGH ROAD,0,1.14
10009,Between Harvest Cl & Brolga Av,153.4108836,-27.97956318,34058,1.94,3.87,103,SOUTHPORT - BURLEIGH ROAD,1.14,3.969
11404,700m south of Boomerang Cres,153.4115228,-28.01979263,47845,6.5,4.62,103,SOUTHPORT - BURLEIGH ROAD,3.969,8.2
10035,250m Nth Markeri St Intersection_SS 5851,153.4067209,-28.04608997,49201,9.468,5.65,103,SOUTHPORT - BURLEIGH ROAD,8.2,11.96
11597,700m north of Burleigh Connection Rd,153.4271367,-28.09486529,38967,15.4,6.8,103,SOUTHPORT - BURLEIGH ROAD,11.96,16.09
10568,740m south of Burleigh Connection Rd,153.4237562,-28.10781917,22380,16.88,9.71,103,SOUTHPORT - BURLEIGH ROAD,16.09,17.915
11406,Between Robina Pkway and Palm Meadows Dr,153.383979,-28.033151,15655,0.15,5.1,104,GOLD COAST - SPRINGBROOK ROAD,0,3.533
11555,Between Hinterland Dve and Somerset Dve,153.3615246,-28.08172207,15484,5.142,6.61,104,GOLD COAST - SPRINGBROOK ROAD,3.533,5.323
11532,At Little Nerang Creek bridge,153.293405,-28.12341924,1095,15.25,4.57,104,GOLD COAST - SPRINGBROOK ROAD,5.323,23.133
11544,680m east of Nerang-Murwillumbah Rd,153.2474502,-28.11114868,1408,29.597,7.96,104,GOLD COAST - SPRINGBROOK ROAD,23.133,30.37
12269,Between Boulton Road and Lakeview Drive,153.3567474,-27.99879038,24054,1.75,6.85,105,NERANG - BROADBEACH ROAD,0,3.62
11550,900m east of Ross St,153.3784848,-28.01332809,31712,4.55,6.46,105,NERANG - BROADBEACH ROAD,3.62,6.973
11578,Boobegan Creek Bridge,153.3967629,-28.03112309,47389,8,7.21,105,NERANG - BROADBEACH ROAD,6.973,9.3
11559,At Dunlops Canal Bridge,153.4206328,-28.03559678,39580,10.5,6.06,105,NERANG - BROADBEACH ROAD,9.3,11.545
12268,Between Lather St and Lenneberg St,153.4153157,-27.97322363,18672,0.5,5.87,106,SOUTHPORT - NERANG ROAD,0,0.955
12284,100m East of Bailey Cr,153.3901616,-27.97629261,28191,3.13,7.74,106,SOUTHPORT - NERANG ROAD,0.955,4.05
11561,Between Ashmore Rd & Kamholtz Crt,153.3629606,-27.98608702,34461,6.18,7.28,106,SOUTHPORT - NERANG ROAD,4.05,8.23
11562,Between Parkridge Dr & Pac MWay OPass,153.3419471,-27.98446145,26930,8.58,9.64,106,SOUTHPORT - NERANG ROAD,8.23,9.39
135783,150m east of Osborne Court,153.1912767,-27.67108194,34894,1.05,11.66,108,BEENLEIGH - REDLAND BAY ROAD,0,1.29
136337,175m west of California Creek Rd,153.2005143,-27.67028055,39025,1.99,8.76,108,BEENLEIGH - REDLAND BAY ROAD,1.29,2.18
131873,At California Creek Bridge,153.216778,-27.67329851,21799,3.64,13.71,108,BEENLEIGH - REDLAND BAY ROAD,2.18,4.84
135776,400m East of Mt Cotton Rd,153.2320688,-27.67682882,9398,5.23,13.07,108,BEENLEIGH - REDLAND BAY ROAD,4.84,6.32
134115,430m west of Teviot Road,153.270073,-27.68618098,6423,9.29,9.38,108,BEENLEIGH - REDLAND BAY ROAD,6.32,10.96
136104,500m north of Lagoon View Rd,153.3000264,-27.67482534,5552,13.29,9.77,108,BEENLEIGH - REDLAND BAY ROAD,10.96,16.05
135563,100m west of Link Rd on Colburn Av,153.2907605,-27.58348538,18289,0.9,3.6,1082,COLBURN AVENUE,0,2.35
131756,East of Holz St,153.3044342,-27.58765369,7613,2.4,6.05,1082,COLBURN AVENUE,2.35,3.73
135651,South of Ross Court,153.266693,-27.53304966,15326,1.015,5.08,109,CLEVELAND - REDLAND BAY ROAD,0,1.38
140025,109 at intersec on Island Outlook Av PTC,153.2668596,-27.5578647,19644,3.78,,109,CLEVELAND - REDLAND BAY ROAD,1.38,3.8
